Entity,Year,number_ai_bills_cumulative
Australia,2016,0
Belgium,2016,0
Brazil,2016,0
Canada,2016,0
China,2016,0
Denmark,2016,0
Finland,2016,0
France,2016,0
Germany,2016,0
India,2016,0
Ireland,2016,0
Italy,2016,0
Japan,2016,1
Netherlands,2016,0
New Zealand,2016,0
Norway,2016,0
Russia,2016,0
Singapore,2016,0
South Africa,2016,0
South Korea,2016,0
Spain,2016,0
Sweden,2016,0
Switzerland,2016,0
United Kingdom,2016,0
United States,2016,0
Australia,2017,0
Belgium,2017,0
Brazil,2017,0
Canada,2017,1
China,2017,1
Denmark,2017,0
Finland,2017,0
France,2017,0
Germany,2017,0
India,2017,0
Ireland,2017,0
Italy,2017,0
Japan,2017,1
Netherlands,2017,0
New Zealand,2017,0
Norway,2017,0
Russia,2017,0
Singapore,2017,0
South Africa,2017,0
South Korea,2017,0
Spain,2017,0
Sweden,2017,0
Switzerland,2017,0
United Kingdom,2017,0
United States,2017,1
Australia,2018,0
Belgium,2018,0
Brazil,2018,1
Canada,2018,1
China,2018,1
Denmark,2018,0
Finland,2018,0
France,2018,1
Germany,2018,0
India,2018,0
Ireland,2018,0
Italy,2018,1
Japan,2018,1
Netherlands,2018,0
New Zealand,2018,0
Norway,2018,0
Russia,2018,0
Singapore,2018,0
South Africa,2018,0
South Korea,2018,2
Spain,2018,0
Sweden,2018,0
Switzerland,2018,0
United Kingdom,2018,0
United States,2018,4
Australia,2019,0
Belgium,2019,2
Brazil,2019,1
Canada,2019,1
China,2019,2
Denmark,2019,0
Finland,2019,0
France,2019,1
Germany,2019,0
India,2019,0
Ireland,2019,0
Italy,2019,2
Japan,2019,1
Netherlands,2019,0
New Zealand,2019,0
Norway,2019,0
Russia,2019,1
Singapore,2019,0
South Africa,2019,0
South Korea,2019,2
Spain,2019,0
Sweden,2019,0
Switzerland,2019,0
United Kingdom,2019,0
United States,2019,7
Australia,2020,0
Belgium,2020,3
Brazil,2020,1
Canada,2020,1
China,2020,2
Denmark,2020,0
Finland,2020,0
France,2020,3
Germany,2020,0
India,2020,1
Ireland,2020,0
Italy,2020,3
Japan,2020,2
Netherlands,2020,0
New Zealand,2020,0
Norway,2020,0
Russia,2020,4
Singapore,2020,0
South Africa,2020,0
South Korea,2020,3
Spain,2020,2
Sweden,2020,0
Switzerland,2020,0
United Kingdom,2020,2
United States,2020,10
Australia,2021,0
Belgium,2021,5
Brazil,2021,1
Canada,2021,1
China,2021,2
Denmark,2021,0
Finland,2021,0
France,2021,4
Germany,2021,1
India,2021,1
Ireland,2021,0
Italy,2021,4
Japan,2021,3
Netherlands,2021,0
New Zealand,2021,0
Norway,2021,0
Russia,2021,6
Singapore,2021,0
South Africa,2021,0
South Korea,2021,4
Spain,2021,5
Sweden,2021,0
Switzerland,2021,0
United Kingdom,2021,5
United States,2021,13
